summary;type;component;epic;assignee;storyPoints;versions;fixVersions;backendSubTasks;frontendSubTasks;requirementSubTasks;stdTestsSubTasks;automationSubTasks;labels
GDP-STD-0102 - USER MANAGEMENT SERVICE IS INTEGRATED WITH AUTHENTICATION SERVICES USING LDAP;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0103 - USER INFORMATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0108 - ROLES INFORMATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0113 - ROLE CONTAINING ANOTHER ROLES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0114 - ROLE CONTAINING ONLY SCOPES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0115 - READ PERMISSIONS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0119 - ASSOCIATION OF AN IMAGE AS AVATAR TO AN USER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0120 - CREATE A NEW USER WITHOUT ROLES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0121 - USERNAME CANNOT BE CHANGED IN THE UI;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0122 - UPDATE PASSWORD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0123 - DIFFERENT USERS MUST HAVE DIFFERENT USER NAMES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0124 - SEARCH FOR AN USER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0126 - DIFFERENT ROLES MUST HAVE DIFFERENT NAMES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0127 - SEARCH FOR A ROLE;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0129 - DELETE PERMISIONS (OAUTH SCOPES) FROM A ROLE;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0130 - DELETE THE IMAGE SET AS THE AVATAR OF AN USER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0132 - CLEAR ALL ROLE INFORMATION FIELDS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0134 - USER MANAGER APPLICATION OPENS THE ACCORDING TO THE LOCALE SET IN THE BROWSER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0135 - DEFAULT LOCALE IS USED WHEN THE LOCALE SELECTED IN THE BROWSER IS NOT SUPPORTED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0136 - USER MANAGER FRONT-END DOES NOT SHOW DATA WHE USER MANAGER BACK END IS STOPPED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0137 - GDP APPLICATION DO NOT SHOW USER PHOTO WHEN USER MANAGER BACK-END IS STOPPED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0138 - USER MANAGER DOES NOT UPDATE LDAP CONFIGURATION WHEN APPS MANAGER BACK-END IS STOPPED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0141 - CLONE AN USER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0142 - CLONE A ROLE;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
GDP-STD-0143 - CREATE AN USER VIA API;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;user_manager,test_execution
